7zip 24.09-3
vim 9.1.1043-1
waybar 0.11.0-6
wget 1.25.0-1
wireless_tools 30.pre9-4
wl-clip-persist 0.4.3-2
wl-clipboard 1:2.2.1-2
xclip 0.13-6
xdg-desktop-portal-hyprland-git 1.3.9.r1.gd7f18dda-1
xorg-server 21.1.15-1
xorg-xinit 1.4.3-1
yay 12.4.2-1
yay-debug 12.4.2-1
yazi 0.4.2-2
zen-browser-bin 1.7.2b-1
zoxide 0.9.6-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-syntax-highlighting 0.8.0-1
